geoid,city,wkt,area,orig_area,clip_ratio,lat,lon,households,no_vehicle,no_vehicle_moe
250173505002,Somerville,"POLYGON ((-71.124964 42.402291, -71.124326 42.40203, -71.122225 42.401458, -71.12175 42.401329, -71.12073 42.401096, -71.123672 42.39792, -71.124159 42.398518, -71.124567 42.399034, -71.126146 42.401039, -71.126911 42.403149, -71.124964 42.402291))",1.3391705000023032e-05,1.3391705000023029e-05,1.0000000000000002,42.4000365,-71.12353396930101,367,40.0,25.238858928247925
250250008062,Boston,"POLYGON ((-71.132803 42.366127, -71.130648 42.368535, -71.130292 42.371979, -71.12881 42.372738, -71.12712 42.371818, -71.12682 42.370267, -71.125308 42.368858, -71.121961 42.36781, -71.119789 42.367674, -71.118349 42.366914, -71.117648 42.360915, -71.119344 42.360525, -71.119996 42.364001, -71.123039 42.363751, -71.129755 42.363198, -71.130218 42.362694, -71.133088 42.363383, -71.135331 42.363175, -71.135452 42.364849, -71.132803 42.366127))",9.303007449997659e-05,9.303007449997658e-05,1.0000000000000002,42.3665205,-71.12537693103295,689,458.0,116.84177335182824
250259810001,Boston,"POLYGON ((-71.130068 42.298184, -71.129622 42.298529, -71.127925 42.300157, -71.12625 42.301799, -71.125816 42.302322, -71.125399 42.302878, -71.124992 42.303489, -71.124672 42.305194, -71.123084 42.305163, -71.122084 42.306534, -71.120783 42.308359, -71.121671 42.308656, -71.121463 42.308685, -71.12025 42.308347, -71.119566 42.306432, -71.120002 42.304567, -71.118796 42.302996, -71.11696 42.302186, -71.12002 42.299817, -71.115434 42.298903, -71.12016 42.295952, -71.121294 42.295199, -71.124217 42.292581, -71.12618 42.290089, -71.127735 42.2913, -71.130463 42.293156, -71.129332 42.296362, -71.130068 42.298184))",0.00012256229150003144,0.00012256229150003147,0.9999999999999998,42.29936,-71.12324138974202,16,0.0,19.798989873223327
250250907002,Boston,"POLYGON ((-71.056844 42.324828, -71.056779 42.321633, -71.057691 42.321286, -71.061012 42.322425, -71.059064 42.325419, -71.056844 42.324828))",1.1731029000000142e-05,1.1731029000000138e-05,1.0000000000000002,42.3236265,-71.05852490943154,764,219.0,112.92918134831227
250250612021,Boston,"POLYGON ((-71.062215 42.342915, -71.061716 42.343964, -71.060609 42.343718, -71.059487 42.34358, -71.059952 42.34232, -71.059702 42.336859, -71.060042 42.336564, -71.061009 42.334782, -71.062798 42.331973, -71.064613 42.334009, -71.065414 42.335441, -71.06529 42.337074, -71.062215 42.342915))",4.220367950001681e-05,4.22036795000168e-05,1.0000000000000002,42.339697,-71.06187052020876,0,0.0,19.79898987322333
250173583003,Lexington,"POLYGON ((-71.225603 42.429055, -71.220656 42.427201, -71.219768 42.424913, -71.219797 42.422229, -71.216847 42.419925, -71.215004 42.418666, -71.214841 42.418399, -71.222197 42.420845, -71.227 42.42157488314681, -71.227 42.431, -71.22406034926234 42.431, -71.225603 42.429055))",6.0960273465294543e-05,0.00013719838499995452,0.4443220921683207,42.423570999999995,-71.22339125,307,0.0,8.797128603289984
250214121003,Westwood,"POLYGON ((-71.22655 42.20876, -71.22332 42.20845, -71.2199 42.20247, -71.218025 42.201975, -71.218976 42.201069, -71.21904911378596 42.201, -71.227 42.201, -71.227 42.208490708661415, -71.22655 42.20876))",4.504200252323132e-05,0.0003260248640000464,0.13815511482960058,42.20546,-71.224305,800,0.0,2.735331719445268
250173543001,Cambridge,"POLYGON ((-71.154704 42.381285, -71.152473 42.37991, -71.151675 42.376331, -71.154706 42.376088, -71.156231 42.380636, -71.155623 42.381481, -71.157792 42.382211, -71.155814 42.381599, -71.154704 42.381285))",1.582844100002742e-05,1.582844100002742e-05,1.0,42.3781205,-71.15373076104882,648,97.0,50.0
250173397001,Medford,"POLYGON ((-71.10396 42.413712, -71.104016 42.414769, -71.103299 42.414751, -71.101066 42.41296, -71.099771 42.408299, -71.093929 42.404054, -71.095526 42.400114, -71.096301 42.400341, -71.096986 42.400845, -71.102193 42.406406, -71.104232 42.408526, -71.108887 42.407472, -71.109157 42.408113, -71.110122 42.41031, -71.106658 42.411127, -71.105902 42.412863, -71.107698 42.415302, -71.110599 42.416632, -71.110501 42.417078, -71.10396 42.413712))",8.126801549994124e-05,8.126801549994126e-05,0.9999999999999997,42.409418,-71.10490605105761,320,30.99999999999999,39.661064030103866
250214164005,Milton,"POLYGON ((-71.04488 42.276266, -71.042782 42.277102, -71.04227 42.272915, -71.041635 42.26839, -71.04173 42.26674, -71.0411 42.26665, -71.040249 42.265428, -71.03915 42.2645, -71.04092 42.26248, -71.043 42.26168, -71.046832 42.269972, -71.048559 42.27247, -71.053284 42.277502, -71.049802 42.2781, -71.04488 42.276266))",8.708688049998582e-05,8.708688049998582e-05,1.0,42.269181,-71.04410622782953,256,0.0,19.79898987322333
250173527002,Cambridge,"POLYGON ((-71.089783 42.373948, -71.087512 42.373402, -71.087866 42.372044, -71.088491 42.372119, -71.093279 42.372754, -71.092826 42.374185, -71.089783 42.373948))",8.361126499985983e-06,8.361126499985983e-06,1.0,42.373078,-71.09038644673076,562,139.0,72.86288492778748
